Name	Top	Heart	Base	Label
Lagerfeld_Cologne_By_Karl_Lagerfeld	Bergamot,Verbena,Basil,Coriander	Lavender,Rose,Clove,Patchouli	Oakmoss,Amber,Musk,Tobacco,Opopanax,Tonka_Bean	Winning
Montblanc_Legend_Cologne_By_Mont_Blanc	Lavender,Pineapple,Bergamot,Lemon_Verbena	Red_Apple,Dried_Fruits,Oak_Moss,Geranium,Coumarin,Rose	Tonka_Bean,Sandalwood	Winning
Sherri Essence	Rose_(sungoddess),Musks,Labdanum	Jasmine_(desert),Licorice,Quince,Gardenia	Clove,Heather	Losing
Rebecca Mist	Plum(edp),Orange_Zest,Tonka_Bean	Melon_De_Cavaillon	Petitgrain,Quince	Losing
John Mist	Rose_(jfk)	Peach_(white),Amber_Spice_Accord,Woody_Notes	Sweet_Pea(edt),Waterlily_(blue),Osmanthus(edp),Fennel	Losing
Acqua_Di_Gio_Cologne_By_Giorgio_Armani	Bergamot,Mandarin,Calone,Neroli	Jasmine,Nasturtium,Rosemary,Hedione_High_Cis	Cedarwood,Patchouli,Cistus_Labdanum_(rockrose),Musks_(white)	Winning
Beautiful_Perfume_By_Estee_Lauder	Mandarin,Lily,Marigold_(tagete),Rose_(bulgarian),Tuberose	Carnation,Jasmine_(egyptian),Jasmine_(moroccan),Lily_Of_The_Valley_(muguet),Orange_Blossom,Ylang-ylang,Clary_Sage,Thyme	Iris_(orris),Myrrh,Sandalwood,Vetiver,Oakmoss,Cistus_Labdanum_(rockrose),Olibanum,Tonka_Bean,Vanilla	Winning
Tommy_Girl_Perfume_By_Tommy_Hilfiger	Mandarin,Tangerine,Apple_Blossom,Camellia,Leaves_(green),Spearmint,Blackcurrant_Buds_(cassis)	Heather,Jasmine_(desert),Magnolia,Rose_(cherokee),Violet_(butterfly),Honeysuckle	Cedarwood,Sandalwood	Winning
Jeffrey Aura	Jasmine_(moroccan),Honey	Red_Apple,Mandarin_Orange,Rose_(turkish,Tactile_Woods_Accord	Artemisia_(armoise)	Losing
Charles Aura	Orchid	Tactile_Woods_Accord	Oakmoss_Amber_(white)	Losing
Kristie Flame	Carnation,Boysenberry_Flower	Pear_(iced),Almond_(green),Floral_Honey_Accord,Musks	Magnolia,Waterlily	Losing
Richard Essence	Ozonic_Accord,Violet_(black),Champaca,Crinum_Lily_(white)	Crinum_Lily_(white),Ambroxan,Petitgrain,Rosemary	Incense,Tuberose,Petitgrain	Losing
Dolce_&_Gabbana_Pour_Homme_By_Dolce_&_Gabbana	Bergamot,Lemon,Mandarin,Orange,Neroli	Lavender,Cardamom,Pepper,Sage,Tarragon	Iris_(orris),Cedarwood,Sandalwood,Musk,Tobacco,Coumarin,Tonka_Bean	Winning
Elaine Mist	Raspberry,Plum(edp)	Orchid_(crystallised),Peony_(white),Orchid_(coconut)	Spice_Notes	Losing
Sunflowers_Perfume_By_Elizabeth_Arden	Bergamot,Melon,Peach	Ozonic_Accord,Cyclamen,Jasmine,Osmanthus,Rose_(tea)	Cedarwood,Sandalwood,Oakmoss,Amber,Musk	Winning
Versace_Man_Cologne_By_Versace	Bergamot,Neroli,Pepper_(black),Angelica_Flower	Cardamom,Saffron	Kashmir_Wood_Note,Tobacco_Leaves,Amber,Cistus_Labdanum_(rockrose)	Winning
Tabac_Cologne_By_Maurer_&_Wirtz	Bergamot,Petitgrain,Neroli,Pepper,Aldehydes	Geranium,Lavender,Chamomile	Carnation,Oak,Amber,Musk,Tobacco	Winning
Allison Essence	Mahogany,Balsam,Musk,Star_Anise	Oakmoss	Leather,Grapefruit,Citrus_Accord	Losing
Kyle Mist	Lily_(day),Powder_Power_Accord,Berries_(wild)	Melon,Vanilla,Pepper	Tender_Skin_Accord,Rose_(may_Rose_Or_Rose_De_Mai)	Losing
Club_De_Nuit_Intense_Cologne_By_Armaf	Lemon,Pineapple,Black_Currant,Bergamot,Apple	Birch,Jasmine,Rose	Musk,Ambergris,Patchouli,Vanilla	Winning
Frederick Aura	Bamboo,Bellflower,Jasmine_(indonesian)	Geranium	Thyme,Caramel	Losing
Rebecca Essence	Almond(parfum)	Marigold,Ginger,Freesia_(yellow),Apricot	Floral_Honey_Accord,Orchid_(morning_Dew),Peach,Rose_(bulgarian)	Losing
Heather Aura	Yuzu	Lavender,Carnation(edp),Wood_(creamy)	Celery,Fir_(douglas)	Losing
Aromatics_Elixir_Perfume_By_Clinique	Geranium,Orange_Blossom,Verbena,Chamomile,Clary_Sage	Jasmine,Rose,Tuberose,Ylang-ylang,Patchouli	Vetiver,Oakmoss,Amber,Civet	Winning
L'air_Du_Temps_Perfume_By_Nina_Ricci	Bergamot,Carnation,Rose_(rosa_Centifolia)	Gardenia,Jasmine,Rose,Violet,Clove	Iris_(orris),Cedarwood,Sandalwood,Amber,Musk	Winning
David Flame	Ginger(edt),Pineapple	Peach,Rose_(rosa_Centifolia),Jasmine_(egyptian)	Lily_(black),Powdery_Notes,Peony_(white),Blood_Orange	Losing
Daisy_Perfume_By_Marc_Jacobs	Grapefruit_(ruby_Red),Violet_Leaves,Strawberry_(wild)	Gardenia,Jasmine,Violet	Wood_(white),Musk,Vanilla	Winning
Euphoria_Perfume_By_Calvin_Klein	Lush_Green_Accord,Persimmon,Pomegranate	Champaca,Lotus_Flower,Orchid_(black)	Violet_(black),Mahogany,Amber_(liquid),Creamy_Accord	Winning
Cesar Essence	Caramel,Lemon_Verbena	Rose_(sungoddess)	Orchid_(oriental),Oakmoss	Losing
