Name	Top	Heart	Base	Gender
Eternity_Cologne_By_Calvin_Klein	Lavender,Lemon,Bergamot,Mandarin_Orange	Juniper_Berries,Sage,Coriander,Geranium,Basil,Jasmine,Orange_Blossom,Lily,lily_of_the_valley	Sandalwood,Vetiver,Musk,Brazilian_Rosewood,Amber	Men
Light_Blue_Perfume_By_Dolce_&_Gabbana	Sicilian_Lemon,Apple,Cedar,Bellflower	Bamboo,Jasmine,White_Rose	Cedar,Musk,Amber	Women
Bright_Crystal_By_Versace	Yuzu,Pomegranate,Water_Notes	Peony,Lotus,Magnolia	Musk,Mahogany,Amber	Women
Versace_Eros	Mint,Candy_Apple,Lemon,Mandarin_Orange	Ambroxan,Geranium,Clary_sage	Vanilla,Cedar,Sandalwood,Leather,Bitter_Orange,Patchouli	Men
Eternity_Perfume_By_Calvin_Klein	Green_Notes,Freesia,Sage,Citruses,Mandarin_Orange	Carnation,Lily,Lily_of_the_valley,Narcissus,Marigold,Violet,Rose,Jasmine	Heliotrope,Musk,Sandalwood,Amber,Patchouli	Women
Angel_Perfume_By_Thierry_Mugler	Bergamot,Mandarin,Helional,Hedione	Dewberry,Honey,Red_berries	Patchouli,Sandalwood_(Australian),Coumarin,Vanilla,Caramel,Chocolate	Women
White_Diamonds_Perfume_By_Elizabeth_Taylor	Lily_(Amazon),Neroli,Aldehydes	Iris_(Orris),Jasmine,Narcissus,Rose,Tuberose	Patchouli,Sandalwood,Oakmoss,Amber	Women
Elizabeth_Arden_Red_Door	Rose_(JFK),Ylang-ylang,Fruity_accord	Carnation,Freesia,Jasmine,Lily,Lily_of_the_Valley_(Muguet),Orange_blossom,Orchid_(Oriental),Violet	Sandalwood,Vetiver,Oakmoss,Musk,Honey	Women
Drakkar_Noir_Cologne_By_Guy_Laroche	Lemon_peel,Verbena	Lavender,Coriander,Fir_balsam,Juniperberry	Patchouli,Sandalwood,Balsam	Men
L'air_Du_Temps_Perfume_By_Nina_Ricci	Bergamot,Carnation,Rose_(Rosa_Centifolia)	Gardenia,Jasmine,Rose,Violet,Clove	Iris_(Orris),Cedarwood,Sandalwood,Amber,Musk	Women
Cool_Water_Cologne_By_Davidoff	Sea_Water,Lavender,Mint,Green_Notes,Rosemary,Calone,Coriander	Sandalwood,Neroli,Geranium,Jasmine	Musk,Tobacco,Oakmoss,Cedar,Amber	Men
Ck_One_Cologne_By_Calvin_Klein	Bergamot,Cardamom,Tea_(Green),Papaya,Pineapple	Rose,Violet,Nutmeg,Tea_(Green),Hedione_high_cis	Amber,Musks,Tea_(Green)	Men
Oscar_Perfume_By_Oscar_De_La_Renta	Orange_blossom,Basil,Cascarilla,Coriander	Jasmine,Rose_(May_Rose_or_Rose_de_Mai),Tuberose,Ylang-ylang,Vetiver,Broom	Clove,Myrrh,Patchouli,Sandalwood,Vetiver,Opopanax,Vanilla	Women
Obsession_Perfume_By_Calvin_Klein	Bergamot,Mandarin,Green_notes,Vanillin	Jasmine,Orange_blossom,Sandalwood,Vetiver,Coriander	Oakmoss,Amber,Musk,Incense	Women
Obsession_Cologne_By_Calvin_Klein	Bergamot,Mandarin	Lavender,Clove,Myrrh,Nutmeg,Coriander,Sage	Patchouli,Sandalwood,Vetiver,Amber	Men
Acqua_Di_Gio_Cologne_By_Giorgio_Armani	Bergamot,Mandarin,Calone,Neroli	Jasmine,Nasturtium,Rosemary,Hedione_high_cis	Cedarwood,Patchouli,Cistus_labdanum_(Rockrose),Musks_(white)	Men
Versace_Man_Cologne_By_Versace	Bergamot,Neroli,Pepper_(black),Angelica_flower	Cardamom,Saffron	Kashmir_wood_note,Tobacco_leaves,Amber,Cistus_labdanum_(Rockrose)	Men
L'eau_D'issey_(issey_Miyake)_Perfume_By_Issey_Miyake	Cyclamen,Freesia,Lotus_flower,Rose_water	Carnation(EdP),Lily_(white),Osmanthus(EdP),Peony	Woods_(precious),Amber,Musk	Women
