Note_Type	Note	Proportion
Top	Bergamot	0.119681
Top	Mandarin	0.045213
Top	Lemon	0.037234
Top	Neroli	0.029255
Top	Lavender	0.023936
Top	Orange	0.021277
Top	Basil	0.018617
Top	Coriander	0.018617
Top	Aldehydes	0.018617
Top	Green_Notes	0.018617
Top	Orange_Blossom	0.015957
Top	Tangerine	0.013298
Top	Peach	0.013298
Top	Grapefruit	0.013298
Top	Ylang-ylang	0.013298
Top	Mint	0.013298
Top	Verbena	0.010638
Top	Pineapple	0.010638
Top	Chamomile	0.010638
Top	Violet_Leaves	0.010638
Top	Lily_Of_The_Valley_(muguet)	0.010638
Top	Mandarin_Orange	0.010638
Top	Marigold_(tagete)	0.007979
Top	Rose_(bulgarian)	0.007979
Top	Tuberose	0.007979
Top	Leaves_(green)	0.007979
Top	Blackcurrant_Buds_(cassis)	0.007979
Top	Petitgrain	0.007979
Top	Pepper	0.007979
Top	Geranium	0.007979
Top	Clary_Sage	0.007979
Top	Gardenia	0.007979
Top	Cardamom	0.007979
Top	Sage	0.007979
Top	Thyme	0.007979
Top	Artemisia_(armoise)	0.007979
Top	Galbanum	0.007979
Top	Calone	0.005319
Top	Spearmint	0.005319
Top	Black_Currant	0.005319
Top	Apple	0.005319
Top	Grapefruit_(ruby_Red)	0.005319
Top	Pomegranate	0.005319
Top	Cucumber	0.005319
Top	Pear	0.005319
Top	Jasmine	0.005319
Top	Rose	0.005319
Top	Yuzu	0.005319
Top	Water_Notes	0.005319
Top	Fig_Leaf	0.005319
Top	Lotus_Flower	0.005319
Top	Quince	0.005319
Top	Tea_(green)	0.005319
Top	Freesia	0.005319
Top	Fruity_Accord	0.005319
Top	Leaves_(ivy)	0.005319
Top	Nutmeg	0.005319
Top	Lychee	0.005319
Top	Cyclamen	0.005319
Top	Apricot	0.005319
Top	Lemon_Verbena	0.002660
Top	Lily	0.002660
Top	Apple_Blossom	0.002660
Top	Camellia	0.002660
Top	Melon	0.002660
Top	Pepper_(black)	0.002660
Top	Angelica_Flower	0.002660
Top	Carnation	0.002660
Top	Rose_(rosa_Centifolia)	0.002660
Top	Strawberry_(wild)	0.002660
Top	Lush_Green_Accord	0.002660
Top	Persimmon	0.002660
Top	Diamante_Citron	0.002660
Top	Orange_(leaves)	0.002660
Top	Apple_(red)	0.002660
Top	Juniperberry	0.002660
Top	Laurel	0.002660
Top	Mandarin_Blossom	0.002660
Top	Plum(edp)	0.002660
Top	Lilac	0.002660
Top	Linden_Blossom	0.002660
Top	Magnolia	0.002660
Top	Cascarilla	0.002660
Top	Rosewood	0.002660
Top	Apple_Martini	0.002660
Top	Calabrian_Bergamot	0.002660
Top	Calabrian	0.002660
Top	Hyacinth	0.002660
Top	Clove	0.002660
Top	Angelica_Root	0.002660
Top	Citrus_Accord	0.002660
Top	Waterlily	0.002660
Top	Honeydew_Melon	0.002660
Top	Blood_Orange	0.002660
Top	Papaya	0.002660
Top	Lily_(amazon)	0.002660
Top	Citruses	0.002660
Top	Sea_Water	0.002660
Top	Rosemary	0.002660
Top	Spruce	0.002660
Top	Lime	0.002660
Top	Almond_(green)	0.002660
Top	Pear_(iced)	0.002660
Top	Peach_Nectar	0.002660
Top	Berries_(wild)	0.002660
Top	Lily_(white)	0.002660
Top	Cumin	0.002660
Top	Anise_(aniseed)	0.002660
Top	Mandarin_Leaves	0.002660
Top	Freesia_(yellow)	0.002660
Top	Rose_(sungoddess)	0.002660
Top	Ginger	0.002660
Top	Celery	0.002660
Top	Herbs	0.002660
Top	Rose_(white)	0.002660
Top	Peach_(white)	0.002660
Top	Floral_Energy_Accord	0.002660
Top	Hawthorn_(aubepine)	0.002660
Top	Violet_(parma)	0.002660
Top	Cassia_Bark	0.002660
Top	Amber(parfum)	0.002660
Top	Star_Anise	0.002660
Top	Pear_Liqueur	0.002660
Top	Rum	0.002660
Top	Orange_(bitter)	0.002660
Top	Melon_De_Cavaillon	0.002660
Top	Watermelon	0.002660
Top	Orange_Zest	0.002660
Top	Peppermint	0.002660
Top	Rhubarb	0.002660
Top	Helional	0.002660
Top	Hedione	0.002660
Top	Candy_Apple	0.002660
Top	Raspberry	0.002660
Top	Cinnamon	0.002660
Top	Green	0.002660
Top	Rose_(jfk)	0.002660
Top	Champaca	0.002660
Top	Plum	0.002660
Top	Rose_Wood	0.002660
Top	Lemon_Peel	0.002660
Top	Vanillin	0.002660
Top	Rose_Water	0.002660
Top	Kiwi	0.002660
Top	Cedar_Leaves	0.002660
Top	Pine_Needles	0.002660
Top	Apple_(green)	0.002660
Top	Floral_Honey_Accord	0.002660
Top	Pink_Floral_Accord	0.002660
Top	Chypre_(pink)	0.002660
Top	Cypress	0.002660
Top	Jasmine_(sambac)	0.002660
Top	Sicilian_Lemon	0.002660
Top	Cedar	0.002660
Top	Bellflower	0.002660
Top	Coriander_And_Basil	0.002660
Top	Pear_Sorbet	0.002660
Top	Tea	0.002660
Heart	Jasmine	0.082927
Heart	Rose	0.051220
Heart	Clove	0.034146
Heart	Geranium	0.031707
Heart	Orange_Blossom	0.031707
Heart	Ylang-ylang	0.031707
Heart	Tuberose	0.029268
Heart	Lily_Of_The_Valley_(muguet)	0.026829
Heart	Violet	0.026829
Heart	Lavender	0.019512
Heart	Patchouli	0.017073
Heart	Carnation	0.017073
Heart	Gardenia	0.017073
Heart	Iris_(orris)	0.017073
Heart	Cardamom	0.014634
Heart	Cinnamon	0.014634
Heart	Nutmeg	0.014634
Heart	Vetiver	0.014634
Heart	Coriander	0.014634
Heart	Rose_(may_Rose_Or_Rose_De_Mai)	0.012195
Heart	Clary_Sage	0.009756
Heart	Sage	0.009756
Heart	Lilac	0.009756
Heart	Lily_Of_The_Valley	0.009756
Heart	Neroli	0.009756
Heart	Sandalwood	0.009756
Heart	Jasmine_(moroccan)	0.007317
Heart	Magnolia	0.007317
Heart	Peach	0.007317
Heart	Orchid	0.007317
Heart	Narcissus	0.007317
Heart	Lily	0.007317
Heart	Vanilla	0.007317
Heart	Freesia	0.007317
Heart	Mimosa	0.007317
Heart	Rosemary	0.004878
Heart	Hedione_High_Cis	0.004878
Heart	Honeysuckle	0.004878
Heart	Saffron	0.004878
Heart	Lotus_Flower	0.004878
Heart	Cedarwood	0.004878
Heart	Myrrh	0.004878
Heart	Rose_(bulgarian)	0.004878
Heart	Broom	0.004878
Heart	Peony	0.004878
Heart	Ambroxan	0.004878
Heart	Tea_(green)	0.004878
Heart	Ginger	0.004878
Heart	Oakmoss	0.004878
Heart	Basil	0.004878
Heart	Peony_(white)	0.004878
Heart	Licorice	0.004878
Heart	Cumin	0.004878
Heart	Honey	0.004878
Heart	Red_Berries	0.004878
Heart	Jasmine_(sambac)	0.004878
Heart	Red_Apple	0.002439
Heart	Dried_Fruits	0.002439
Heart	Oak_Moss	0.002439
Heart	Coumarin	0.002439
Heart	Nasturtium	0.002439
Heart	Jasmine_(egyptian)	0.002439
Heart	Thyme	0.002439
Heart	Heather	0.002439
Heart	Jasmine_(desert)	0.002439
Heart	Rose_(cherokee)	0.002439
Heart	Violet_(butterfly)	0.002439
Heart	Pepper	0.002439
Heart	Tarragon	0.002439
Heart	Ozonic_Accord	0.002439
Heart	Cyclamen	0.002439
Heart	Osmanthus	0.002439
Heart	Rose_(tea)	0.002439
Heart	Chamomile	0.002439
Heart	Birch	0.002439
Heart	Champaca	0.002439
Heart	Orchid_(black)	0.002439
Heart	Hyacinth_(blue)	0.002439
Heart	Bergamot	0.002439
Heart	Cactus_Flower	0.002439
Heart	Fir_(douglas)	0.002439
Heart	Ginseng	0.002439
Heart	Boysenberry_Flower	0.002439
Heart	Jasmine_(indonesian)	0.002439
Heart	Orchid_(morning_Dew)	0.002439
Heart	Paperwhites_(indoor_Narcissus)	0.002439
Heart	Amber_Spice_Accord	0.002439
Heart	Musk	0.002439
Heart	Lotus	0.002439
Heart	Black_Pepper	0.002439
Heart	Violet_Leaf	0.002439
Heart	Papyrus	0.002439
Heart	Sichuan_Pepper	0.002439
Heart	Pinkpepper	0.002439
Heart	Elemi	0.002439
Heart	Spice_Notes	0.002439
Heart	Blond_Leather_	0.002439
Heart	Spicy_Citrus_Accord	0.002439
Heart	Aquatic_Accord	0.002439
Heart	Marigold	0.002439
Heart	Anise_(aniseed)	0.002439
Heart	Fennel	0.002439
Heart	Juniper_Berries	0.002439
Heart	Marjoram	0.002439
Heart	Almond_(sugared)	0.002439
Heart	Orchid_(coconut)	0.002439
Heart	Karo_Karounde	0.002439
Heart	Lily_(black)	0.002439
Heart	Rose_(baie)	0.002439
Heart	Cherry_(amarena)	0.002439
Heart	Pepper_(white)	0.002439
Heart	Cedarwood_(virginia)	0.002439
Heart	Lily_(day)	0.002439
Heart	Spice	0.002439
Heart	Lily_(madonna)	0.002439
Heart	Aldehydes	0.002439
Heart	Heliotrope	0.002439
Heart	Powder_Power_Accord	0.002439
Heart	Musks_(white)	0.002439
Heart	Opopanax	0.002439
Heart	Almond(parfum)	0.002439
Heart	Ginger(edt)	0.002439
Heart	Plum(edt)	0.002439
Heart	Verbena	0.002439
Heart	Celery_Seed	0.002439
Heart	Dewberry	0.002439
Heart	Cotton_Candy	0.002439
Heart	Strawberry	0.002439
Heart	Tobacco	0.002439
Heart	Hyacinth	0.002439
Heart	Muguet	0.002439
Heart	Orris	0.002439
Heart	Orchid_(oriental)	0.002439
Heart	Rose_(turkish	0.002439
Heart	Ottoman)	0.002439
Heart	Sweet_Pea(edt)	0.002439
Heart	Orchid_(crystallised)	0.002439
Heart	Acacia	0.002439
Heart	Black_Currant	0.002439
Heart	Fir_Balsam	0.002439
Heart	Juniperberry	0.002439
Heart	Iris	0.002439
Heart	Carnation(edp)	0.002439
Heart	Lily_(white)	0.002439
Heart	Osmanthus(edp)	0.002439
Heart	Suede	0.002439
Heart	Orchid_(white_Chocolate)	0.002439
Heart	Cupcake_Accord	0.002439
Heart	Aromatic_Notes	0.002439
Heart	Amber_Light_Accord	0.002439
Heart	Amber	0.002439
Heart	Musk_(soft)	0.002439
Heart	Waterlily_(blue)	0.002439
Heart	Olive_Flower	0.002439
Heart	Cashmeran	0.002439
Heart	Bamboo	0.002439
Heart	White_Rose	0.002439
Heart	Waterlily	0.002439
Heart	Orchid_(cattleya)	0.002439
Heart	Rose_(rosa_Centifolia)	0.002439
Base	Musk	0.108861
Base	Amber	0.106329
Base	Sandalwood	0.093671
Base	Patchouli	0.068354
Base	Vanilla	0.065823
Base	Oakmoss	0.053165
Base	Vetiver	0.050633
Base	Tonka_Bean	0.045570
Base	Cedarwood	0.032911
Base	Tobacco	0.017722
Base	Iris_(orris)	0.017722
Base	Cedar	0.017722
Base	Cistus_Labdanum_(rockrose)	0.015190
Base	Civet	0.012658
Base	Opopanax	0.010127
Base	Mahogany	0.010127
Base	Incense	0.010127
Base	Amber_(white)	0.007595
Base	Benzoin	0.007595
Base	Heliotrope	0.007595
Base	Leather	0.007595
Base	Caramel	0.007595
Base	Myrrh	0.005063
Base	Coumarin	0.005063
Base	Tobacco_Leaves	0.005063
Base	Ambergris	0.005063
Base	Sandalwood_(australian)	0.005063
Base	Woods_(precious)	0.005063
Base	Moss	0.005063
Base	Musk-like_Notes	0.005063
Base	Praline	0.005063
Base	Amberwood	0.005063
Base	Woody_Notes	0.005063
Base	Guaiac_Wood	0.005063
Base	Musks_(white)	0.002532
Base	Olibanum	0.002532
Base	Kashmir_Wood_Note	0.002532
Base	Carnation	0.002532
Base	Oak	0.002532
Base	Wood_(white)	0.002532
Base	Violet_(black)	0.002532
Base	Amber_(liquid)	0.002532
Base	Creamy_Accord	0.002532
Base	Oud_(oudh	0.002532
Base	Agar_Or_Aloeswood)	0.002532
Base	Amber_(mineral)	0.002532
Base	Woods_(blonde)	0.002532
Base	Tender_Skin_Accord	0.002532
Base	Pepper_(black)	0.002532
Base	Crinum_Lily_(white)	0.002532
Base	Hawaiian_Wedding_Flower	0.002532
Base	Magnolia	0.002532
Base	Mimosa	0.002532
Base	Transparent_Wood_Note	0.002532
Base	Toffee	0.002532
Base	Clove	0.002532
Base	Sultry_Woods	0.002532
Base	Saffron	0.002532
Base	Ambroxan	0.002532
Base	Labdanum	0.002532
Base	Castoreum	0.002532
Base	Mulberry	0.002532
Base	Orchid	0.002532
Base	White_Woods	0.002532
Base	Musks	0.002532
Base	Tea_(green)	0.002532
Base	Musk_(transparent)	0.002532
Base	Brazilian_Rosewood	0.002532
Base	Wood_(creamy)	0.002532
Base	Wood	0.002532
Base	Amber-like_Notes	0.002532
Base	Treemoss	0.002532
Base	Musk_(skin_Accord)	0.002532
Base	Exotic_Woods	0.002532
Base	Musk_(skin_2000_Accord)	0.002532
Base	Plum	0.002532
Base	Violet	0.002532
Base	Powdery_Notes	0.002532
Base	Urban_Energy_Accord	0.002532
Base	Cyclosal	0.002532
Base	Hedione	0.002532
Base	Washed_Suede_Note	0.002532
Base	Musk_(sheer)	0.002532
Base	Oakmoss_Amber_(white)	0.002532
Base	Chocolate	0.002532
Base	Bitter_Orange	0.002532
Base		0.002532
Base	Tolu	0.002532
Base	Honey	0.002532
Base	Amaranth_Wood	0.002532
Base	Musk_(blackberry)	0.002532
Base	Plum_(damson)	0.002532
Base	Balsam	0.002532
Base	Cashmere_Accord	0.002532
Base	Musk_(creamy)	0.002532
Base	Suede	0.002532
Base	Fir_Balsam	0.002532
Base	Tactile_Woods_Accord	0.002532
Base	Woods_(sheer)	0.002532
